,Respondent_Serial,language,country,D1,D2,D3,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,yyyymmdd,AgeGender,regionAustralia,regionUS,regionUK,regionIndia,regionNigeria,regionPhilippines,regionFinland,regionPortugal,regionBrazil,regionFrance,weight
0,25.0,French,France,22.0,man,France: South,extremely,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,not at all,no,no,yes,no,no,no,yes,yes,no,moderately,very,very,not at all,extremely,not at all,moderately,,not at all,20210518.0,Men 21-25,,,,,,,,,,South,0.9551268394081684
1,26.0,English,Philippines,25.0,woman,Philippines: Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle,extremely,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,moderately,no,no,no,no,no,no,no,yes,yes,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately,20210518.0,Women 21-25,,,,,,Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle,,,,,0.649679802136875
2,27.0,English,Philippines,24.0,woman,Philippines: Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,not at all,no,no,no,no,no,no,yes,yes,yes,moderately,moderately,moderately,not at all,moderately,not at all,moderately,moderately,not at all,20210518.0,Women 21-25,,,,,,Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle,,,,,0.649679802136875
3,28.0,English,Australia,20.0,woman,Australia: South Australia,a little,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,a little,no,no,no,no,no,no,no,no,,moderately,not at all,not at all,not at all,not at all,not at all,not at all,not at all,not at all,20210518.0,Women 16-20,South Australia,,,,,,,,,,0.9157517225616252
4,29.0,English,India,18.0,woman,India: West India,extremely,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,a little,no,no,no,yes,yes,no,yes,yes,yes,very,very,very,extremely,very,extremely,very,extremely,extremely,20210518.0,Women 16-20,,,,West India,,,,,,,1.183360054767504
5,30.0,English,India,24.0,man,India: South India,very,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,no,not at all,yes,no,yes,no,no,no,yes,yes,no,extremely,extremely,very,a little,very,not at all,extremely,not at all,a little,20210518.0,Men 21-25,,,,South India,,,,,,,0.8012481119389621
6,31.0,English,Australia,22.0,woman,Australia: South Australia,not worried,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,no,yes,no,yes,no,no,very,,no,yes,,,no,,no,yes,moderately,extremely,not at all,very,,extremely,extremely,very,very,20210518.0,Women 21-25,South Australia,,,,,,,,,,0.8127712524349114
7,32.0,English,Philippines,25.0,man,Philippines: Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle,extremely,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,moderately,no,yes,no,yes,no,no,yes,yes,yes,moderately,a little,moderately,moderately,very,moderately,very,a little,moderately,20210518.0,Men 21-25,,,,,,Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle,,,,,0.7078000062120289
8,34.0,English,Philippines,18.0,man,Philippines: Mindanao Super Region,moderately,yes,yes,no,yes,no,no,yes,no,yes,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,no,very,yes,yes,yes,yes,yes,yes,no,no,no,not at all,not at all,not at all,a little,not at all,very,not at all,not at all,moderately,20210518.0,Men 16-20,,,,,,Mindanao Super Region,,,,,1.9462256634233035
9,35.0,English,Philippines,18.0,woman,Philippines: Central Philippines Region,very,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,a little,no,yes,no,yes,yes,yes,yes,no,no,a little,a little,a little,very,a little,very,a little,moderately,very,20210518.0,Women 16-20,,,,,,Central Philippines Region,,,,,1.7369488421455404
10,36.0,English,Philippines,21.0,woman,Philippines: Mindanao Super Region,moderately,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,moderately,no,no,no,no,no,no,yes,no,no,a little,a little,very,moderately,a little,moderately,moderately,moderately,a little,20210518.0,Women 21-25,,,,,,Mindanao Super Region,,,,,0.6408921343302343
11,37.0,Finnish,Finland,21.0,man,Finland: South Finland,extremely,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,completely reassured,yes,yes,yes,yes,yes,yes,yes,yes,yes,extremely,extremely,extremely,extremely,extremely,extremely,extremely,extremely,extremely,20210518.0,Men 21-25,,,,,,,South Finland,,,,1.1282464444101474
